name,image_url,status,price,liftoff_thrust,payload_to_leo,payload_to_gto,stages,strap-ons,rocket_height,fairing_diameter,fairing_height,rocket_id
Alpha,https://storage.googleapis.com/nextspaceflight/media/rockets/Alpha.webp,Active,$15.0 million,801 kN,"1,030 kg",,2.0,0.0,29.48 m,2.2 m,5.0 m,62
Amur/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,$22.0 million,"4,903 kN","12,500 kg","2,500 kg",3.0,0.0,55.0 m,5.1 m,5.8 m,252
Angara 1.2,https://storage.googleapis.com/nextspaceflight/media/rockets/Angara_1.2.webp,Active,,"1,922 kN","3,800 kg",0 kg,2.0,0.0,42.7 m,3.0 m,2.9 m,183
Angara 1.2PP,https://storage.googleapis.com/nextspaceflight/media/rockets/Angara_1.2PP.webp,Retired,,"1,922 kN",,0 kg,2.0,0.0,42.7 m,3.0 m,2.9 m,183
Angara A5,https://storage.googleapis.com/nextspaceflight/media/rockets/Angara_A5.webp,Active,$100.0 million,"9,610 kN","25,000 kg","3,000 kg",2.0,4.0,55.4 m,4.35 m,15.2 m,58
Angara A5/Blok DM-03,https://storage.googleapis.com/nextspaceflight/media/rockets/Angara_A5_DM-03.webp,Active,$100.0 million,"9,610 kN","23,000 kg","5,400 kg",3.0,4.0,55.4 m,4.35 m,15.2 m,58
Angara A5/Briz-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Angara_A5_BrizM.webp,Active,$100.0 million,"9,610 kN","23,000 kg","5,400 kg",3.0,4.0,55.4 m,4.35 m,15.2 m,58
Angara A5M,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Active,$100.0 million,"9,610 kN","25,000 kg","6,000 kg",2.0,4.0,55.4 m,4.35 m,15.2 m,58
Antares 110,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_110.webp,Retired,$80.0 million,"3,265 kN",,,2.0,0.0,40.5 m,3.94 m,4.87 m,26
Antares 120,https://storage.googleapis.com/nextspaceflight/media/rockets/Antares_120.webp,Retired,$80.0 million,"3,265 kN","4,600 kg","1,500 kg",2.0,0.0,40.5 m,3.94 m,9.87 m,26
