rocket_name,rocket_details_link,rocket_id,description,missions,successes,partial_failures,failures,success_streak,success_rate,configurations
Alpha,https://nextspaceflight.com/rockets/62,62,"Alpha is a two-stage expendable vehicle developed by Firefly Aerospace to service the commercial small satellite launch market, as well as rapid response missions for national security payloads. It is primarily targeted towards dedicated missions but offers rideshare options as well. Alpha's first stage is powered by four Reaver engines burning kerolox in a tap-off cycle. The second stage has a single Lightning engine utilizing the same fuel and cycle type.",5.0,2.0,2.0,1.0,1.0,60.0%,['Alpha']
Amur,https://nextspaceflight.com/rockets/252,252,"Amur is a partially-reusable, methane–fueled, orbital launch vehicle proposed by the Roscosmos State Corporation in Russia. Design began in 2020, with operational flights planned for no earlier than 2026. Amur is intended to substitute for the existing Soyuz-2, at a much lower per launch cost.",,,,,,,['Amur/Fregat-M']
Angara 1,https://nextspaceflight.com/rockets/183,183,The Angara 1 variants use a single Universal Rocket Module (URM-1) core as the first stage. The URM-1 is powered by a single NPO Energomash RD-191 engine burning liquid oxygen and RG-1 (Soviet kerosene).,4.0,4.0,0.0,0.0,4.0,100%,"['Angara 1.2', 'Angara 1.2PP']"
Angara A5,https://nextspaceflight.com/rockets/58,58,,4.0,3.0,0.0,1.0,1.0,75.0%,"['Angara A5', 'Angara A5/Blok DM-03', 'Angara A5/Briz-M', 'Angara A5M']"
Antares,https://nextspaceflight.com/rockets/26,26,"Antares, known during early development as Taurus II, is an expendable launch system developed by Orbital Sciences Corporation (now part of Northrop Grumman) and the Yuzhnoye Design Bureau to launch the Cygnus spacecraft to the International Space Station as part of NASA's Commercial Resupply Services (CRS) program.",18.0,17.0,0.0,1.0,13.0,94.4%,"['Antares 110', 'Antares 120', 'Antares 130', 'Antares 230', 'Antares 230+', 'Antares 330']"
Ariane 1,https://nextspaceflight.com/rockets/9,9,"Ariane 1 was the first launcher to be developed with the primary purpose of sending commercial satellites into geosynchronous orbit. Crucially, it was designed with the ability to send a pair of satellites into orbit on a single launcher, thus reducing costs. As the size of satellites grew, Ariane 1 quickly gave way to the more powerful Ariane 2 and Ariane 3 launchers, which were heavily based upon the original rocket.",11.0,9.0,0.0,2.0,6.0,81.8%,['Ariane 1']
Ariane 2,https://nextspaceflight.com/rockets/88,88,"Ariane 2 was a European expendable space launch vehicle, operated by the European Space Agency (ESA) between 1986 and 1989 as part of Ariane family of rockets. The principal manufacturer for the Ariane 2 was Aérospatiale, while the lead agency for its development was the Centre National d'Etudes Spatiales (CNES), the French government's space agency. Development of the Ariane 2 was authorized in July 1979, months prior to the Ariane 1's first flight. Drawing heavily upon both the design and infrastructure of the Ariane 1, the new launcher was concurrently developed alongside the Ariane 3, with which it shared much of its design. It represented an advancement of the Ariane 1 rather than a replacement but was capable of lifting even heavier payloads into Geostationary transfer orbit (GTO). Developed largely within a two-year window, the Ariane 2 performed its maiden flight on 31 May 1986, actually flying after its Ariane 3 sibling.",6.0,5.0,0.0,1.0,5.0,83.3%,['Ariane 2']
Ariane 3,https://nextspaceflight.com/rockets/89,89,"Development of the Ariane 3 was authorized in July 1979, months prior to the Ariane 1's first flight. Drawing heavily upon both the design and infrastructure of the Ariane 1, the new launcher was concurrently developed alongside the Ariane 2, with which it shared much of its design. It represented an advancement of the Ariane 1 rather than a replacement but was capable of lifting even heavier payloads into Geostationary transfer orbit (GTO) as well as launching two satellites via one launch. Developed largely within a two-year window, the Ariane 3 performed its maiden flight on 4 August 1984, actually flying in advance of its Ariane 2 sibling. During its brief service life, having performed its final launch on 12 July 1989, the Ariane family had become increasingly commercially competitive, becoming the market-leading heavy launch vehicle in the world by the late 1980s.",11.0,10.0,0.0,1.0,6.0,90.9%,['Ariane 3']
Ariane 4,https://nextspaceflight.com/rockets/90,90,"The Ariane 4 was a European expendable space launch system, developed by the Centre National d'Études Spatiales (CNES), the French space agency, for the European Space Agency (ESA). In 1982, the Ariane 4 program was approved by ESA. Drawing heavily upon the preceding Ariane 3, it was designed to provide a launcher capable of delivering heavier payloads and at a lower cost per kilogram than the earlier members of the Ariane family. The Ariane 4 was principally an evolution of the existing technologies used, as opposed to being revolutionary in its design ethos; this approach quickly gained the backing of most ESA members, who funded and participated in its development and operation. Capable of being equipped with a wide variety of strap-on boosters, the Ariane 4 gained a reputation for being an extremely versatile launcher.",116.0,113.0,0.0,3.0,74.0,97.4%,"['Ariane 40', 'Ariane 42L', 'Ariane 42P', 'Ariane 44L', 'Ariane 44LP', 'Ariane 44P']"
Ariane 5,https://nextspaceflight.com/rockets/91,91,"Ariane 5 was a European heavy-lift space launch vehicle developed and operated by Arianespace for the European Space Agency (ESA). It was launched from the Centre Spatial Guyanais in French Guiana. It has been used to deliver payloads into geostationary transfer orbit (GTO) or low Earth orbit (LEO). Since its first launch, Ariane 5 has been refined in successive versions: ""G"", ""G+"", ""GS"", ""ECA"", and most recently, ""ES"". The system has a commonly used dual-launch capability, where up to two large geostationary belt communication satellites can be mounted using a SYLDA (Système de Lancement Double Ariane, ""Ariane Double-Launch System"") carrier system.",117.0,112.0,3.0,2.0,20.0,97.0%,"['Ariane 5 ECA', 'Ariane 5 ES', 'Ariane 5 G', 'Ariane 5 G+', 'Ariane 5 GS']"
