mission_status,title,launch_time,description,videos,article_link,location,rocket_data.rocket_name,rocket_data.image_url,rocket_data.image_credit,rocket_data.status,rocket_data.price,rocket_data.liftoff_thrust,rocket_data.payload_to_leo,rocket_data.payload_to_gto,rocket_data.stages,rocket_data.strap-ons,rocket_data.rocket_height,rocket_data.fairing_diameter,rocket_data.fairing_height,rocket_data.rocket_details_link,rocket_data.rocket_id,mission_data.title,mission_data.description,mission_data.payloads,mission_data.total_mass,mission_data.orbit
,OneWeb #20,"Sun Oct 20, 2024 05:13 UTC",,"{'Official Livestream': 'https://www.spacex.com/launches/mission/?missionId=oneweblaunch20', '24/7 Livestream': 'None'}",https://www.nasaspaceflight.com/2024/09/launch-roundup-092324/,"SLC-4E, Vandenberg SFB, California, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,OneWeb #20,"The 20th flight dedicated to the OneWeb high-speed Internet constellation. The initial constellation consists of 648 satellites. Later, the constellation could be expanded to more than 900 satellites depending on demand. OneWeb is expected to begin customer demonstrations in 2022, then provide a global, 24-hour service in 2022/2023.",20,"2,954.0 kg",Polar Orbit
,Starlink Group 6-61,"Mon Oct 21, 2024 22:40 UTC",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},https://www.nasaspaceflight.com/2024/10/launch-roundup-101424/,"SLC-40, Cape Canaveral SFS, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Starlink Group 6-61,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,,,Low Earth Orbit
,Unknown Payload,"Tue Oct 22, 2024 00:10 UTC",Payload and launch vehicle identities uncertain.,,,"LC-16, Taiyuan Satellite Launch Center, China",Long March 6,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_6_rocket.webp,Image Credit: CASC,Active,$19.0 million,"1,188 kN","1,080 kg",0 kg,3,0,29.24 m,2.6 m,6.145 m,/rockets/124,124,2024,,,,
,Unknown Payload,"Wed Oct 23, 2024 01:05 UTC",Payload and launch vehicle identities uncertain.,,,"LC-3, Xichang Satellite Launch Center, China",Long March 2C,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C.webp,Image Credit: CASC,Active,$30.8 million,"2,962 kN","2,850 kg","1,000 kg",2,0,42.0 m,3.35 m,8.37 m,/rockets/111,111,2024,,,,
,NROL-167,"Thu Oct 24, 2024 17:15 UTC",,,,"SLC-4E, Vandenberg SFB, California, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,NROL-167,Suspected fourth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,,,Low Earth Orbit
,Kirameki 3,"Sat Oct 26, 2024 06:44 UTC",,,,"LA-Y2, Tanegashima Space Center, Japan",H3-22S,https://storage.googleapis.com/nextspaceflight/media/rockets/H3-22.webp,Image Credit: JAXA,Active,$50.0 million,"7,542 kN",,"4,000 kg",2,2,63.0 m,5.27 m,10.3 m,/rockets/105,105,Kirameki 3,"DSN-3, also known as Kirameki 3, is a geostationary communications satellite to be operated by DSN Corporation, a subsidiary of SKY Perfect JSAT Group. Its payload is a pure X band and will be used for military communications by the Japanese military.",1,,Geostationary Transfer Orbit
,Shenzhou 19,"NET October, 2024",,,,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",Long March 2F/G,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2FG_rocket.webp,Image Credit: CASC,Active,,"5,985 kN","8,600 kg",0 kg,2,4,58.34 m,3.6 m,19.11 m,/rockets/114,114,Shenzhou 19,"Shenzhou 19 (Chinese: 神舟十九号), the flight will mark the 14th crewed Chinese spaceflight and the nineteenth flight of the Shenzhou program. The spacecraft will carry three People's Liberation Army Astronaut Corps (PLAAC) taikonauts on the eighth flight to the Tianhe core module, the first module of the Tiangong space station.",1,"8,100.0 kg",Low Earth Orbit
,Lockheed Martin Demo 1,"NET October, 2024",,,,"SLC-2W, Vandenberg SFB, California, USA",Alpha,https://storage.googleapis.com/nextspaceflight/media/rockets/Alpha.webp,Image Credit: Firefly Aerospace,Active,$15.0 million,801 kN,"1,030 kg",,2,0,29.48 m,2.2 m,5.0 m,/rockets/62,62,Lockheed Martin Demo 1,First of up to 25 launches of Low Earth Orbit technology demonstration satellites to be built and operated by Lockheed Martin. Launch operation will also again demonstrate responsive space pre-launch operation capabilities.,,,Low Earth Orbit
,SXM-9,"NET October, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,SXM-9,"SXM-9 is the 10th high-powered, digital, audio radio satellite built by Maxar (SSL) for SiriusXM. The SXM-9 satellite will be based on Maxar’s proven 1300-class platform and built at the company’s manufacturing facility in Palo Alto, California. It is expected that SXM-9 will launch in 2024.  SXM-9 has a large, mesh, unfurlable reflector almost 10 meters in diameter that allows SiriusXM programming to reach its radios, including those in moving vehicles.",1,,Geostationary Transfer Orbit
,Unknown Payload,"NET October, 2024",Payload and launch vehicles identities extremely uncertain.,,https://www.nasaspaceflight.com/2024/09/launch-roundup-090924/,"Site 95A, Jiuquan Satellite Launch Center, China",Ceres 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Ceres-1.webp,Image Credit: Galactic Energy,Active,$4.38 million,588 kN,400 kg,0 kg,4,0,19.0 m,1.4 m,2.5 m,/rockets/225,225,,,,,
,Starlink Group 11-2,"NET October, 2024",,,,"SLC-4E, Vandenberg SFB, California, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Starlink Group 11-2,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,,,Low Earth Orbit
,NS-27,"NET October, 2024",,"{'Official Livestream': 'https://www.youtube.com/watch?v=5Gmm_VxxMsA', '24/7 Livestream': 'None'}",,"Launch Site One, West Texas, Texas, USA",New Shepard,https://storage.googleapis.com/nextspaceflight/media/rockets/New_Shepard_2.webp,Image Credit: Blue Origin,Active,,490 kN,0 kg,0 kg,2,0,18.0 m,,,/rockets/199,199,NS-27,NS-27 is an uncrewed verification flight debuting Blue Origin's second human-rated vehicle to meet growing customer demand.,,,
,"Changes In Latitudes, Changes In Attitudes","NET October, 2024",Payload identity TBD.,,,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Image Credit: Rocket Lab,Active,$7.5 million,224 kN,320 kg,,3,0,18.0 m,1.2 m,4.05 m,/rockets/4,4,"Changes In Latitudes, Changes In Attitudes",Launch of a yet to identified satellite to SSO for an undisclosed customer. The customer is suspected to be Low Earth Orbit communication satellite constellation operator E-Space.Launch contract was signed less than 2 months before launch.,1,,Sun-Synchronous Orbit
,CRS SpX-31,"Sat Nov 02, 2024 03:40 UTC",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,CRS SpX-31,SpaceX CRS-31 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon.,1,,Low Earth Orbit
,"Ionosfera-M n°1, 2 & Others","Mon Nov 04, 2024 23:18 UTC",,,,"Site 1S, Vostochny Cosmodrome, Russia",Soyuz 2.1b/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1b-Fregat-M.webp,Image Credit: Roscosmos,Active,$25.0 million,"4,550 kN","7,500 kg","3,250 kg",4,4,46.94 m,4.11 m,11.43 m,/rockets/142,142,Ionosfera-M n°1 & 2,Ionosfera is a constellation of four ionospheric and magnetospheric research satellites developed by for Roscosmos for the project Ionozond.,2,400.0 kg,Sun-Synchronous Orbit
,Progress MS-29,"NET Nov 21, 2024",,,,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Crew.webp,Image Credit: Roscosmos,Active,$17.42 million,"4,550 kN","7,500 kg",0 kg,3,4,51.38 m,4.11 m,15.59 m,/rockets/141,141,Progress MS-29,"Progress (in Russian: ""Прогресс"") MS-29 is a Russian cargo vehicle which will resupply the International Space Station. This will be the 182nd flight of a Progress.",1,"7,280.0 kg",Low Earth Orbit
,PROBA 3,"NET Nov 29, 2024",,,,"First Launch Pad, Satish Dhawan Space Centre, India",PSLV-XL,https://storage.googleapis.com/nextspaceflight/media/rockets/PSLV_XL.webp,,Active,$31.0 million,"7,661 kN","3,250 kg","1,410 kg",4,6,44.0 m,3.2 m,8.3 m,/rockets/34,34,PROBA 3,"PROBA-3 will be composed of two independent, three-axis stabilized spacecraft flying 150 meters from one another with the ability to accurately control the attitude and separation of the two craft. It will be maintained for 6 hours, creating ″artificial solar eclipse″ for the satellite below. The spacecraft pair will fly a highly elliptical orbit divided between periods of accurate formation flying around apogee, when payload operations will be possible, and periods of free flight. The length of the formation control period will be a trade-off involving the increasing amount of fuel needed to maintain the orbits in formation when away from apogee.",2,550.0 kg,
,GSAT-20 (GSAT-N2),"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,GSAT-20 (GSAT-N2),GSAT-20 is a communication satellite jointly being developed by Indian Space Research Organisation Satellite Centre and Liquid Propulsion Systems Centre. GSAT-20 will be a continuation of GSAT series of communication satellites. The satellite is intended to add data transmission capacity to the communication infrastructure required by Smart Cities Mission of India.,1,"4,700.0 kg",Geostationary Transfer Orbit
,Demo Flight,"NET November, 2024",,,,"Wenchang Space Launch Site, China",Pallas 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Pallas_1.webp,Image Credit: Galactic Energy,Planned,,"2,746 kN","4,000 kg",0 kg,2,0,42.0 m,3.15 m,6.3 m,/rockets/286,286,Demo Flight,"Demo Flight, cargo unknown",,,
,Kondor-FKA n°2,"NET Nov 30, 2024",,,,"Site 1S, Vostochny Cosmodrome, Russia",Soyuz 2.1a/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1a_Fregat-M.webp,Image Credit: Roscosmos,Active,$23.0 million,"4,550 kN","7,020 kg","2,810 kg",4,4,46.94 m,4.11 m,10.2 m,/rockets/141,141,Kondor-FKA n°2,The Kondor-FKA is a small civilian radar Earth observation satellite designed by NPO Mashinostroyeniya as a civilian counterpart to the Kondor-E satellite.,1,"1,100.0 kg",Sun-Synchronous Orbit
,Blue Ghost Mission 1,"NET November, 2024",,{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},,"SLC-40 or LC-39A, Florida, USA",Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,/rockets/3,3,Blue Ghost Mission 1,Blue Ghost is a commercial lunar lander developed by Firefly Aerospace for NASA’s CLPS program. Blue Ghost is designed to bring up to 155kg of payload to the lunar surface. It will land at Mare Crisium in the Crisium Basin and is designed to last 14 days before freezing in the lunar night.,,,
