mission_status,title,launch_time,description,article_link,location,videos,rocket_data.rocket_name,rocket_data.image_url,rocket_data.image_credit,rocket_data.status,rocket_data.payload_to_leo,rocket_data.stages,rocket_data.strap-ons,rocket_data.rocket_height,rocket_data.fairing_diameter,rocket_data.rocket_details_link,rocket_data.rocket_id,rocket_data.payload_to_gto,rocket_data.price,rocket_data.liftoff_thrust,rocket_data.fairing_height,mission_data.title,mission_data.description,mission_data.orbit,mission_data.payloads,mission_data.total_mass
,Unknown Payload,"Tue Sep 24, 2024 02:30 UTC",Payload identities uncertain.,,"Haiyang Spaceport, China Coastal Waters",,Jielong 3,https://storage.googleapis.com/nextspaceflight/media/rockets/Jielong-3.webp,Image Credit: CASC,Active,"1,500 kg",4,0,31.0 m,3.35 m,/rockets/285,285,,,,,2024,,,,
,Unknown Payload,"Tue Sep 24, 2024 23:35 UTC",Payload identities uncertain.,,"Site 130, Jiuquan Satellite Launch Center, China",,Kinetica 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Kinetica-1_Rocket.webp,Image Credit: CAS Space,Active,"2,000 kg",4,0,31.0 m,3.35 m,/rockets/281,281,"1,500 kg",,,,2024,,,,
,Starlink Group 9-8,"Wed Sep 25, 2024 03:59 UTC",,,"SLC-4E, Vandenberg SFB, California, USA",,Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,Starlink Group 9-8,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. The mission will likely include a mix of Direct-to-Cell and normal v2-Mini Starlink satellites.,Low Earth Orbit,,
,SpaceX Crew-9,"Thu Sep 26, 2024 18:05 UTC","First crewed launch from SLC-40. After NASA decided to return Starliner's Crewed Flight Test (CFT) vehicle uncrewed, it was decided that Crew-9 would launch with only 2 crew members of the originally intended 4, and land with the added 2 Starliner CFT crew.",,"SLC-40, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,SpaceX Crew-9,"SpaceX Crew-9 is the ninth operational crewed rotation mission of a Crew Dragon spacecraft to the International Space Station. The original intended crew comprised Commander Zena Cardman, Pilot Nick Hague, Mission Specialist Stephanie Wilson, and Roscosmos cosmonaut Mission Specialist Aleksandr Gorbunov.",Low Earth Orbit,1,
,Unknown Payload,"Fri Sep 27, 2024 10:35 UTC",Launch vehicle and payload identities uncertain.,,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",,Long March 2D,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2D_1.webp,Image Credit: CASC,Active,"3,500 kg",2,0,40.77 m,3.35 m,/rockets/112,112,"1,200 kg",$29.75 million,"2,962 kN",7.82 m,2024,,,,
,IGS-Radar 8,"NET September, 2024",,https://www.nasaspaceflight.com/2024/09/launch-roundup-090924/,"LA-Y1, Tanegashima Space Center, Japan","{'Official Livestream': 'https://www.youtube.com/watch?v=OR233zV8xRo', '24/7 Livestream': 'None'}",H-IIA 202,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIA_202_rocket.webp,Image Credit: MHI,Active,"10,000 kg",2,2,53.0 m,4.07 m,/rockets/179,179,"4,100 kg",$90.0 million,,12.0 m,IGS-Radar 8,The IGS-Radar 8 is a Japanese radar reconnaissance satellite. The satellite is operated by the Cabinet Satellite Information Center. The satellite serves both Japan's national defense and civil natural disaster monitoring.,Sun-Synchronous Orbit,1,
,OneWeb #20,"NET September, 2024",,,"SLC-4E, Vandenberg SFB, California, USA",,Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Image Credit: SpaceX,Active,"22,800 kg",2,0,70.0 m,5.2 m,/rockets/3,3,"8,300 kg",$69.75 million,"7,607 kN",13.0 m,OneWeb #20,"The 20th flight dedicated to the OneWeb high-speed Internet constellation. The initial constellation consists of 648 satellites. Later, the constellation could be expanded to more than 900 satellites depending on demand. OneWeb is expected to begin customer demonstrations in 2022, then provide a global, 24-hour service in 2022/2023.",Polar Orbit,20,
,Unknown Payload,"NET September, 2024",Payload and launch vehicles identities extremely uncertain.,https://www.nasaspaceflight.com/2024/09/launch-roundup-090924/,"Site 95A, Jiuquan Satellite Launch Center, China",,Ceres 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Ceres-1.webp,Image Credit: Galactic Energy,Active,400 kg,4,0,19.0 m,1.4 m,/rockets/225,225,0 kg,$4.38 million,588 kN,2.5 m,,,,,
,Glonass-K1 n°18L,"NET 3rd Quarter, 2024",,,"Plesetsk Cosmodrome, Russia",,Soyuz 2.1b/Fregat-M,https://storage.googleapis.com/nextspaceflight/media/rockets/Soyuz_2.1b-Fregat-M.webp,Image Credit: Roscosmos,Active,"7,500 kg",4,4,46.94 m,4.11 m,/rockets/142,142,"3,250 kg",$25.0 million,"4,550 kN",11.43 m,Glonass-K1 n°18L,"GLONASS-K is the latest satellite design intended as a part of the Russian GLONASS radio-based satellite navigation system. Developed by ISS Reshetnev (Reshetnev Information Satellite Systems) and first launched on 26 February 2011, it is a substantial improvement of the previous GLONASS-M second-generation satellites, having a longer lifespan and better accuracy.",Medium Earth Orbit,1,
,Certification Flight 2,"Fri Oct 04, 2024 10:00 UTC",,,"SLC-41, Cape Canaveral SFS, Florida, USA",{'24/7 Livestream': 'https://www.youtube.com/watch?v=Jm8wRjD3xVA'},Vulcan VC2S,https://storage.googleapis.com/nextspaceflight/media/rockets/Vulcan_VC2S.webp,Image Credit: NSF,Active,"19,000 kg",2,2,61.6 m,5.4 m,/rockets/70,70,"8,400 kg",,"8,952 kN",15.5 m,Certification Flight 2,"Replacement Vulcan test launch with inert payload, experiments, and demonstrations for certification with the USSF after delays caused by payload testing of the Sierra Space Dreamchaser CRS SNC-1 mission, the original planned payload.",Heliocentric Orbit,,
